ship,shipLabel,category_code,birth_year,presence,status,start_date,start_year,end_date,end_year,end_event_type,birth_date,birth_date_dt,start_date_dt,end_date_dt,duration,event,age_at_start,period_flag,category_group
http://www.example.com/myData/ACD_0001,HMS Royal Sovereign,ACD_0001,1848,http://www.example.com/myData/presence_ACD_0001_02,InNonCombatDuty,1864-10-15,1864,1865-07-01,1865.0,Commissioning,1848-06-29,1848-06-29,1864-10-15,1865-07-01,0.7091033538672142,0,16.295687885010267,WarriorEra_1860s,NewTech_SteamOrArmoured
http://www.example.com/myData/ACD_0001,HMS Royal Sovereign,ACD_0001,1848,http://www.example.com/myData/presence_ACD_0001_04,InNonCombatDuty,1865-10-09,1865,1867-07,1867.0,Recommissioning,1848-06-29,1848-06-29,1865-10-09,1867-07-01,1.7248459958932238,0,17.27857631759069,WarriorEra_1860s,NewTech_SteamOrArmoured
http://www.example.com/myData/ACD_0002,HMS Prince Albert,ACD_0002,1862,http://www.example.com/myData/presence_ACD_0002_03,InNonCombatDuty,1866-06,1866,1887,1887.0,Recommissioning,1862-04-08,1862-04-08,1866-06-01,1887-01-01,20.58590006844627,0,4.147843942505133,WarriorEra_1860s,NewTech_SteamOrArmoured
http://www.example.com/myData/AIF_0001,HMS Warrior,AIF_0001,1859,http://www.example.com/myData/presence_AIF_0001_07,InNonCombatDuty,1876,1876,1881-04-30,1881.0,Decommissioning,1859-05-25,1859-05-25,1876-01-01,1881-04-30,5.327857631759069,0,16.605065023956193,PurgeEra_1870s,NewTech_SteamOrArmoured
http://www.example.com/myData/AIF_0001,HMS Warrior,AIF_0001,1859,http://www.example.com/myData/presence_AIF_0001_08,InNonCombatDuty,1881-05-01,1881,1883-06,1883.0,ShipConversion,1859-05-25,1859-05-25,1881-05-01,1883-06-01,2.083504449007529,0,21.935660506502394,Other_Post_1880,NewTech_SteamOrArmoured
http://www.example.com/myData/AIF_0001,HMS Warrior,AIF_0001,1859,http://www.example.com/myData/presence_AIF_0001_09,InNonCombatDuty,1883-06,1883,1884,1884.0,Decommissioning,1859-05-25,1859-05-25,1883-06-01,1884-01-01,0.5859000684462696,0,24.019164955509925,Other_Post_1880,NewTech_SteamOrArmoured
http://www.example.com/myData/AIF_0001,HMS Warrior,AIF_0001,1859,http://www.example.com/myData/presence_AIF_0001_11,InNonCombatDuty,1902-07,1902,1923,1923.0,ShipConversion,1859-05-25,1859-05-25,1902-07-01,1923-01-01,20.503764544832308,0,43.09924709103354,Other_Post_1880,NewTech_SteamOrArmoured
http://www.example.com/myData/AIF_0001,HMS Warrior,AIF_0001,1859,http://www.example.com/myData/presence_AIF_0001_12,InNonCombatDuty,1923,1923,1979,1979.0,ShipConversion,1859-05-25,1859-05-25,1923-01-01,1979-01-01,56.0,0,63.60301163586585,Other_Post_1880,NewTech_SteamOrArmoured
http://www.example.com/myData/AIF_0003,HMS Defence,AIF_0003,1859,http://www.example.com/myData/presence_AIF_0003_04,InNonCombatDuty,1874-02,1874,1876-02-25,1876.0,Recommissioning,1859-12-14,1859-12-14,1874-02-01,1876-02-25,2.0643394934976045,0,14.13552361396304,PurgeEra_1870s,NewTech_SteamOrArmoured
http://www.example.com/myData/AIF_0003,HMS Defence,AIF_0003,1859,http://www.example.com/myData/presence_AIF_0003_07,InNonCombatDuty,1880-06,1880,1885-08,1885.0,Decommissioning,1859-12-14,1859-12-14,1880-06-01,1885-08-01,5.166324435318275,0,20.465434633812457,Other_Post_1880,NewTech_SteamOrArmoured
http://www.example.com/myData/AIF_0003,HMS Defence,AIF_0003,1859,http://www.example.com/myData/presence_AIF_0003_09,InNonCombatDuty,1890,1890,1898-06,1898.0,ShipConversion,1859-12-14,1859-12-14,1890-01-01,1898-06-01,8.413415468856947,0,30.050650239561943,Other_Post_1880,NewTech_SteamOrArmoured
http://www.example.com/myData/AIF_0003,HMS Defence,AIF_0003,1859,http://www.example.com/myData/presence_AIF_0003_10,InNonCombatDuty,1898-06,1898,1922,1922.0,ShipConversion,1859-12-14,1859-12-14,1898-06-01,1922-01-01,23.583846680355922,0,38.46406570841889,Other_Post_1880,NewTech_SteamOrArmoured
http://www.example.com/myData/AIF_0003,HMS Defence,AIF_0003,1859,http://www.example.com/myData/presence_AIF_0003_11,InNonCombatDuty,1922,1922,1935-08,1935.0,E6_Destruction,1859-12-14,1859-12-14,1922-01-01,1935-08-01,13.579739904175222,1,62.04791238877481,Other_Post_1880,NewTech_SteamOrArmoured
http://www.example.com/myData/PGV_0005,HMS Jackal,PGV_0005,1844,http://www.example.com/myData/presence_PGV_0005_10,InNonCombatDuty,1859-05-21,1859,1885-01-05,1885.0,Recommissioning,1844-01-16,1844-01-16,1859-05-21,1885-01-05,25.6290212183436,0,15.342915811088295,PreWarrior_1850s,NewTech_SteamOrArmoured
http://www.example.com/myData/PGV_0005,HMS Jackal,PGV_0005,1844,http://www.example.com/myData/presence_PGV_0005_11,InNonCombatDuty,1885-01-05,1885,1886-04-30,1886.0,Decommissioning,1844-01-16,1844-01-16,1885-01-05,1886-04-30,1.3141683778234086,0,40.9719370294319,Other_Post_1880,NewTech_SteamOrArmoured
